H|20240228 22:21:02|EPC_ProductList|   
RECORD_TYPE|PRODUCT_ID|PRODUCT_DESCRIPTION|SERVICE_TYPE|BUSINESS_PRODUCT_TYPE|PRODUCT_FAMILY|LIST_PRICE|SPEED|EFFECTIVE_DATE|EXPIRATION_DATE|PO_TYPE|FV_SVC_TECHNOLOGY|OFFER_TYPE
D|10430921|100% Discount on 1st Singtel Telephone Line (Promo with mioStadium)|FV|VAS|Disc FV||null|19900101|21200101|FV|PSTN|
D|10430931|100% Discount on 2nd Singtel Telephone Line for 6 mths|FV|VAS|Disc FV||null|19900101|21200101|FV|PSTN|
D|10430941|100% Discount on Singtel Home Digital Line VAS Package (Basic) (Duration: 24 months, Percent: 100%)|FV|VAS|Disc FV||null|19900101|21200101|FHB|Fibre|Gamer
D|10430951|100% discount on Singtel Telephone Line subscription (24 mths)|FV|VAS|Disc FV||null|19900101|21200101|FV|PSTN|
D|10430961|v019 discount for Fixed-line(24 mths)|FV|null|Usage_disc|0|null|19900101|21200101|FHB|PSTN|
D|10430961|v019 discount for Fixed-line(24 mths)|FV|VAS|Usage_disc|0|null|19900101|21200101|FHB|PSTN|
D|10896531|96% Disc on DataRoaming Usage (all countries) (24 mths)|MOB|null|DiscDataRoam|0|null|19900101|21200101|||Regular
D|10896901|Mobile DataMore 5GB Subscription Discount - 71.4286% (24 mths)|MOB|VAS|DiscDataMore||null|19900101|21200101|||SuperSim
D|10896951|Roaming Data Usage Discount - 50%|MOB|null|DiscDataRoam|0|null|19900101|21200101|||Regular
D|10897001|TalkMore Plus Monthly Subscription Discount - 50% (6 mths)|MOB|VAS|DiscTalkMore||null|19900101|21200101|||SuperSim
D|11005231|100% Discount on SIM Card & Registration Fees|MOB|null|DiscStaff||null|19900101|null|||Regular
D|11251521|Mobile BroadBand DataMore 1GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251531|Mobile BroadBand DataMore 2GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251541|Mobile BroadBand DataMore 3GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251551|Mobile BroadBand DataMore 4GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251561|Mobile BroadBand DataMore 1GB Subscription Discount - 37.5% (12 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251571|Mobile BroadBand DataMore 2GB Subscription Discount - 37.5% (12 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251581|Mobile BroadBand DataMore 3GB Subscription Discount - 37.5% (12 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251591|Mobile BroadBand DataMore 4GB Subscription Discount - 37.5% (12 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251601|Mobile BroadBand DataMore 1GB Subscription Discount - 100% (6 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251611|Mobile BroadBand DataMore 2GB Subscription Discount - 100% (6 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251621|Mobile BroadBand DataMore 3GB Subscription Discount - 100% (6 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251631|Mobile BroadBand DataMore 4GB Subscription Discount - 100% (6 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251641|Mobile BroadBand DataMore 10GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251651|Mobile BroadBand DataMore 5GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11251661|Mobile BroadBand DataMore 6GB Subscription Discount - 100% (3 mths)|MOB|VAS|DiscMBB||null|19900101|21200101|||Regular
D|11257591|Mobile Internet Filter (1 Number) - 100%|MOB|VAS|DiscMobIntFil||null|19900101|21200101|||Regular
D|11348691|Ex-Staff Discount (Mobile)(24 Mths)|MOB|VAS|DiscDataMore||null|19900101|21200101|||Regular
D|11348781|50% Discount for 6 mths on No Contract Singtel TV GO Service - Watch TV (1 Device)|TV|VAS|DiscDataMore||null|19900101|21200101|||
D|11348811|10% Discount for content subscription|TV|VAS|DiscDataMore||null|19900101|21200101|||
D|11459431|Free Sunday|MOB|null|DiscFreeSunday|0|null|19900101|21200101|||SuperSim
