ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
BB-406662393A-406662396A-17291351,20240725,2837846262,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406656235A-406656236A-14917621,20240725,2239805745,BroadBand Submitted,PONUMBER,13751320955.0,12294.0
BB-406656235A-406656236A-14917621,20240725,2239805745,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406646266A-406646269A-4436345,20240725,3103501153,BroadBand Submitted,PONUMBER,13798266119.0,12100.0
BB-406646562A-406646567A-8640442,20240725,3103500306,BroadBand Submitted,PONUMBER,13798258075.0,11942.0
BB-406646562A-406646567A-8640442,20240725,3103500306,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406646600A-406646603A-2646395,20240725,3103513006,BroadBand Submitted,PONUMBER,13798223733.0,11351.0
BB-406646600A-406646603A-2646395,20240725,3103513006,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406624591A-406624595A-9046602,20240725,2307107252,BroadBand Submitted,PONUMBER,13798225807.0,11389.0
BB-406624591A-406624595A-9046602,20240725,2307107252,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406625341A-406625342A-15021501,20240725,3096488594,BroadBand Submitted,PONUMBER,13738251928.0,12255.0
BB-406625341A-406625342A-15021501,20240725,3096488594,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406625341A-406625342A-15021551,20240725,3096488595,BroadBand Submitted,PONUMBER,13738251928.0,12255.0
BB-406625341A-406625342A-15021551,20240725,3096488595,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406625388A-406625391A-18707771,20240725,3103455903,BroadBand Submitted,PONUMBER,13798208383.0,11118.0
BB-406625388A-406625391A-18707771,20240725,3103455903,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406650159A-406650160A-2572995,20240725,2976391592,BroadBand Submitted,PONUMBER,13798228813.0,11454.0
BB-406650159A-406650160A-2572995,20240725,2976391592,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406650198A-406650200A-2554735,20240725,3103511613,BroadBand Submitted,PONUMBER,13798238784.0,11610.0
BB-406650198A-406650200A-2554735,20240725,3103511613,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406650198A-406650200A-2646395,20240725,3103511623,BroadBand Submitted,PONUMBER,13798238784.0,11610.0
BB-406650198A-406650200A-2646395,20240725,3103511623,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406650544A-406650547A-26029034,20240725,3103512425,BroadBand Submitted,PONUMBER,13798274197.0,12231.0
BB-406650544A-406650547A-26029034,20240725,3103512425,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406651998A-406651999A-18707771,20240725,2960251474,BroadBand Submitted,PONUMBER,13798221297.0,11314.0
BB-406659380A-406659383A-4436345,20240725,3103533655,BroadBand Submitted,PONUMBER,13798201279.0,10975.0
BB-406659380A-406659383A-4436345,20240725,3103533655,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406659380A-406659383A-2646395,20240725,3103533662,BroadBand Submitted,PONUMBER,13798201279.0,10975.0
BB-406659380A-406659383A-2646395,20240725,3103533662,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406659380A-406659383A-15021551,20240725,3103533665,BroadBand Submitted,PONUMBER,13798201279.0,10975.0
BB-406659380A-406659383A-15021551,20240725,3103533665,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406659522A-406659527A-4436345,20240725,3103532532,BroadBand Submitted,PONUMBER,13798258627.0,11953.0
BB-406659522A-406659527A-4436345,20240725,3103532532,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406659522A-406659527A-12738041,20240725,3103546477,BroadBand Submitted,PONUMBER,13798258627.0,11953.0
BB-406659522A-406659527A-12738041,20240725,3103546477,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406659522A-406659527A-50031632,20240725,3103546482,BroadBand Submitted,PONUMBER,13798258627.0,11953.0
BB-406659522A-406659527A-50031632,20240725,3103546482,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406659531A-406659536A-8640442,20240725,3103532381,BroadBand Submitted,PONUMBER,13798275653.0,12260.0
BB-406659531A-406659536A-8640442,20240725,3103532381,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
