ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
TV-406643048A-406643049A11654671P,25072024,3097039558,TV Submitted,PONUMBER,13759671563,18777.0
TV-406643048A-406643049A11651801P,25072024,3097039560,TV Submitted,PONUMBER,13759671563,18777.0
TV-406655082A-406655083A10242181P,25072024,2318312349,TV Submitted,PONUMBER,13809199715,19128.0
TV-406655082A-406655083A10242181P,25072024,2932346181,TV Submitted,PONUMBER,13809199715,19128.0
TV-406655082A-406655083A8848052P,25072024,2973432648,TV Submitted,PONUMBER,13809199715,19128.0
TV-406655082A-406655083A25946604P,25072024,2973432650,TV Submitted,PONUMBER,13809199715,19128.0
TV-406655082A-406655083A71245896P,25072024,2973432652,TV Submitted,PONUMBER,13809199715,19128.0
TV-406648690A-406648691A2225965P,25072024,2836547277,TV Submitted,PONUMBER,13809180934,18621.0
TV-406648690A-406648691A8847092P,25072024,2977354072,TV Submitted,PONUMBER,13809180934,18621.0
TV-406648690A-406648691A10242181P,25072024,2977354073,TV Submitted,PONUMBER,13809180934,18621.0
TV-406653190A-406653191A8848062P,25072024,66942001,TV Submitted,PONUMBER,13760332795,18809.0
TV-406653190A-406653191A8901882P,25072024,67350148,TV Submitted,PONUMBER,13760332795,18809.0
TV-406623458A-406623459A10242181P,25072024,93447672,TV Submitted,PONUMBER,13809196734,18902.0
TV-406623458A-406623459A8901882P,25072024,93447673,TV Submitted,PONUMBER,13809196734,18902.0
TV-406615706A-406615707A2557675P,25072024,3024613723,TV Submitted,PONUMBER,13809171943,18512.0
TV-406637100A-406637101A8848062P,25072024,62839581,TV Submitted,PONUMBER,13809199036,19083.0
TV-406615706A-406615707A8848082P,25072024,3024613719,TV Submitted,PONUMBER,13809171943,18512.0
TV-406615706A-406615707A8848722P,25072024,3024613721,TV Submitted,PONUMBER,13809171943,18512.0
TV-406615706A-406615707A2225965P,25072024,3046301039,TV Submitted,PONUMBER,13809171943,18512.0
TV-406608416A-406608417A40057212P,25072024,2522207852,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A8848062P,25072024,2626377574,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A8901882P,25072024,2626377576,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A10242181P,25072024,2726212925,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A2225965P,25072024,2804918634,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A71245896P,25072024,2994774085,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A71050306P,25072024,3025220016,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A9442183P,25072024,3025220019,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A11654611P,25072024,3066866682,TV Submitted,PONUMBER,13809199296,19106.0
TV-406608416A-406608417A71795236P,25072024,3066866684,TV Submitted,PONUMBER,13809199296,19106.0
TV-406654015A-406654016A8901882P,25072024,92860074,TV Submitted,PONUMBER,13809198353,19029.0
TV-406603141A-406603142A8848062P,25072024,92937955,TV Submitted,PONUMBER,13809196397,18875.0
TV-406603141A-406603142A10242181P,25072024,92937957,TV Submitted,PONUMBER,13809196397,18875.0
TV-406603141A-406603142A8901882P,25072024,92937958,TV Submitted,PONUMBER,13809196397,18875.0
TV-406654015A-406654016A8848062P,25072024,92860075,TV Submitted,PONUMBER,13809198353,19029.0
TV-406654015A-406654016A10242181P,25072024,92860077,TV Submitted,PONUMBER,13809198353,19029.0
TV-406660805A-406660806A10426121P,25072024,92584410,TV Submitted,PONUMBER,13809201530,19154.0
TV-406660805A-406660806A8901882P,25072024,92584412,TV Submitted,PONUMBER,13809201530,19154.0
TV-406661315A-406661316A2557675P,25072024,2983393926,TV Submitted,PONUMBER,13809177160,18570.0
TV-406514380A-406514381A2225965P,24072024,2836548398,TV Submitted,PONUMBER,13809193734,18776.0
TV-406514380A-406514381A8848062P,24072024,3069345846,TV Submitted,PONUMBER,13809193734,18776.0
TV-406514380A-406514381A8848722P,24072024,3069345848,TV Submitted,PONUMBER,13809193734,18776.0
TV-406514380A-406514381A11654671P,24072024,3069345850,TV Submitted,PONUMBER,13809193734,18776.0
TV-406601460A-406601461A8848062P,25072024,3018683455,TV Submitted,PONUMBER,13809199728,19129.0
TV-406644215A-406644216A9187882P,25072024,2985794887,TV Submitted,PONUMBER,13809204685,19224.0
TV-406601460A-406601461A71245896P,25072024,2761562666,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A10242181P,25072024,2765450938,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A8848662P,25072024,3018683457,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A71315676P,25072024,3018683459,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A19569681P,25072024,3018683460,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A9187882P,25072024,3018683462,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A9188382P,25072024,3018683464,TV Submitted,PONUMBER,13809199728,19129.0
TV-406601460A-406601461A26590334P,25072024,3048556506,TV Submitted,PONUMBER,13809199728,19129.0
TV-406519435A-406519436A10242181P,24072024,66222460,TV Submitted,PONUMBER,13792957194,18714.0
TV-406519435A-406519436A8848062P,24072024,3103302127,TV Submitted,PONUMBER,13792957194,18714.0
TV-406519435A-406519436A9185552P,24072024,3103302129,TV Submitted,PONUMBER,13792957194,18714.0
TV-406599420A-406599421A8901882P,25072024,72172324,TV Submitted,PONUMBER,13809196240,18862.0
TV-406642061A-406642062A9442183P,25072024,2991877266,TV Submitted,PONUMBER,13809186902,18690.0
TV-406643142A-406643143A11654671P,25072024,3090889378,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A9441983P,25072024,2442706568,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A18007451P,25072024,2780450984,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A2225965P,25072024,2949308682,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A3371236P,25072024,3090889380,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A71245896P,25072024,3090889382,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A8848062P,25072024,3090889384,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A9185572P,25072024,3090889386,TV Submitted,PONUMBER,13688279094,18966.0
TV-406643142A-406643143A11651801P,25072024,3090889388,TV Submitted,PONUMBER,13688279094,18966.0
TV-406651098A-406651099A10242181P,25072024,14979290,TV Submitted,PONUMBER,13809195400,18802.0
TV-406651098A-406651099A8901882P,25072024,2236752658,TV Submitted,PONUMBER,13809195400,18802.0
